# protocol=eliotr.test-vectors.canonical-body.v1
# schema_generation=1
# columns=case_id|operation|input_hex|expected|output_hex|error_code
json_utf16_astral_order|canonicalize_json|7b225c7565303030223a322c22f09f9880223a317d|ok|7b22f09f9880223a312c22ee8080223a327d|-
json_null|canonicalize_json|206e756c6c20|ok|6e756c6c|-
json_true|canonicalize_json|0a7472756509|ok|74727565|-
json_object_order|canonicalize_json|207b20227a22203a205b332c322c315d2c20226122203a207b2262223a322c2261223a317d207d20|ok|7b2261223a7b2261223a312c2262223a327d2c227a223a5b332c322c315d7d|-
json_unicode_order|canonicalize_json|7b22c3a9223a312c227a223a322c2261223a337d|ok|7b2261223a332c227a223a322c22c3a9223a317d|-
json_escapes|canonicalize_json|7b22656d6f6a69223a225c75643833645c7564653030222c2274657874223a225c75303034315c2f5c6e5c74222c226e756c223a225c7530303030227d|ok|7b22656d6f6a69223a22f09f9880222c226e756c223a225c7530303030222c2274657874223a22412f5c6e5c74227d|-
json_decomposed_unicode|canonicalize_json|2265cc8122|ok|2265cc8122|-
json_max_safe_integer|canonicalize_json|39303037313939323534373430393931|ok|39303037313939323534373430393931|-
json_min_safe_integer|canonicalize_json|2d39303037313939323534373430393931|ok|2d39303037313939323534373430393931|-
json_empty_containers|canonicalize_json|7b226f223a7b7d2c2261223a5b5d7d|ok|7b2261223a5b5d2c226f223a7b7d7d|-
sha256_empty|sha256|-|ok|e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855|-
sha256_abc|sha256|616263|ok|ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad|-
sha256_binary|sha256|00ff10|ok|2da45f2cd1f9c8e69a67abf7a6b26c282533d0a7686787a9533265418680d4d2|-
sha256_canonical_body|sha256|7b2261223a312c2262223a327d|ok|43258cff783fe7036d8a43033f830adfc60ec037382473548ac742b888292777|-
generation_zero|validate_generation|67315f30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030|ok|67315f30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030|-
generation_empty_digest|validate_generation|67315f65336230633434323938666331633134396166626634633839393666623932343237616534316534363439623933346361343935393931623738353262383535|ok|67315f65336230633434323938666331633134396166626634633839393666623932343237616534316534363439623933346361343935393931623738353262383535|-
generation_short|validate_generation|67315f6465616462656566|error|-|ELIOTR_GENERATION_LENGTH
generation_prefix|validate_generation|78315f30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030|error|-|ELIOTR_GENERATION_PREFIX
generation_alphabet|validate_generation|67315f30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303041|error|-|ELIOTR_GENERATION_ALPHABET
